probe_dir_mode,probe_mode,topology,N,probe_eps,graphs,mean_score,mean_std,mean_censored
fiedler,add_to_dx,grid2d_periodic,4096,0.02,5,0.002338030664179529,0.011391861335801483,0.4333333333333334
fiedler,add_to_dx,grid2d_periodic,4096,0.035,5,0.004745153261380177,0.019453827930763768,0.4666666666666667
fiedler,add_to_dx,grid2d_periodic,4096,0.05,5,0.005409287372854733,0.024003890038844927,0.5
fiedler,add_to_dx,grid2d_periodic,4096,0.07,5,0.006857414543181233,0.03074961751396062,0.4333333333333334
fiedler,add_to_dx,grid2d_periodic,4096,0.1,5,0.012392636068913944,0.05512938499839125,0.4666666666666667
fiedler,add_to_dx,grid2d_periodic,4096,0.14,5,0.013360007484411431,0.06824094860843812,0.4666666666666667
fiedler,add_to_dx,grid2d_periodic,4096,0.2,5,0.0169539514618532,0.08211380854542318,0.5666666666666667
fiedler,add_to_dx,rr,1024,0.002,5,3.878969421329742e-05,9.709638994527921e-06,0.7066666666666667
fiedler,add_to_dx,rr,1024,0.005,5,9.927510820797599e-05,2.3308769274823565e-05,0.7066666666666667
fiedler,add_to_dx,rr,1024,0.01,5,0.00020244905998563788,4.520651310696364e-05,0.7
fiedler,add_to_dx,rr,1024,0.02,5,0.0004141490999407785,8.765693259731354e-05,0.6933333333333332
fiedler,add_to_dx,rr,1024,0.035,5,0.0007412354472496453,0.00014960629535558026,0.6866666666666666
fiedler,add_to_dx,rr,1024,0.05,5,0.0010775526734978693,0.00021029825846519503,0.6799999999999999
fiedler,add_to_dx,rr,1024,0.07,5,0.001538338134776072,0.0002901852136317512,0.6733333333333332
fiedler,add_to_dx,rr,1024,0.1,5,0.0022525201101765927,0.00040929779140815145,0.6533333333333333
fiedler,add_to_dx,rr,1024,0.14,5,0.0032427289270310264,0.0005685891966691718,0.6399999999999999
fiedler,add_to_dx,rr,1024,0.2,5,0.0047987083044128,0.0008103145723977665,0.58
fiedler,add_to_dx,rr,2048,0.002,5,2.6852000345212807e-05,9.360608204610366e-06,0.74
fiedler,add_to_dx,rr,2048,0.005,5,6.880115412180841e-05,2.2839745928381735e-05,0.74
fiedler,add_to_dx,rr,2048,0.01,5,0.00014043197901418447,4.4834557427878166e-05,0.7333333333333333
fiedler,add_to_dx,rr,2048,0.02,5,0.00028759856958244725,8.79337462131414e-05,0.7266666666666667
fiedler,add_to_dx,rr,2048,0.035,5,0.0005152903269693311,0.00015124112932570727,0.7066666666666667
fiedler,add_to_dx,rr,2048,0.05,5,0.0007497365315703887,0.00021336925820984617,0.7066666666666667
fiedler,add_to_dx,rr,2048,0.07,5,0.0010713993771730378,0.0002948284411622266,0.7
fiedler,add_to_dx,rr,2048,0.1,5,0.0015712282011994707,0.000414888697631909,0.6866666666666666
fiedler,add_to_dx,rr,2048,0.14,5,0.0022669122279994507,0.0005722238484493635,0.6799999999999999
fiedler,add_to_dx,rr,2048,0.2,5,0.0033662758269173915,0.0008045388540738882,0.6533333333333333
fiedler,add_to_dx,rr,4096,0.002,5,1.9926066774645484e-05,5.114717319314178e-06,0.6799999999999999
fiedler,add_to_dx,rr,4096,0.005,5,5.0925331431028406e-05,1.2537978354893727e-05,0.6666666666666666
fiedler,add_to_dx,rr,4096,0.01,5,0.00010374405595301073,2.4789863763908366e-05,0.6666666666666666
fiedler,add_to_dx,rr,4096,0.02,5,0.00021202143281720404,4.938941709600404e-05,0.6533333333333333
fiedler,add_to_dx,rr,4096,0.035,5,0.00037918163999521,8.728729485427712e-05,0.6333333333333333
fiedler,add_to_dx,rr,4096,0.05,5,0.0005509549813902453,0.00012675466765766757,0.6
fiedler,add_to_dx,rr,4096,0.07,5,0.0007862537803687861,0.00018253063378614632,0.5866666666666667
fiedler,add_to_dx,rr,4096,0.1,5,0.0011512879249611654,0.0002739595762860617,0.5666666666666667
fiedler,add_to_dx,rr,4096,0.14,5,0.0016581473299959032,0.00041165276593866545,0.5333333333333333
fiedler,add_to_dx,rr,4096,0.2,5,0.0024557912238224846,0.0006467432491852992,0.5
fiedler,add_to_x,grid2d_periodic,1024,0.002,5,0.03273000300834574,0.0880021640837221,0.1
fiedler,add_to_x,grid2d_periodic,1024,0.005,5,0.059202019274038495,0.11282925344979214,0.2
fiedler,add_to_x,grid2d_periodic,1024,0.01,5,0.0960185299462458,0.2037162402847879,0.3
fiedler,add_to_x,grid2d_periodic,1024,0.02,5,0.21787111218147664,0.3155477874782954,0.4666666666666667
fiedler,add_to_x,grid2d_periodic,1024,0.035,5,0.38231203970707767,0.32380653372101614,0.5666666666666667
fiedler,add_to_x,grid2d_periodic,1024,0.05,5,0.541801646061005,0.3358736868813582,0.7
fiedler,add_to_x,grid2d_periodic,1024,0.07,5,0.7019672257755537,0.36150361679552895,0.8666666666666668
fiedler,add_to_x,grid2d_periodic,1024,0.1,5,0.798288095208365,0.3908381933642269,0.9
fiedler,add_to_x,grid2d_periodic,1024,0.14,5,0.8972310780603469,0.4251305253253932,1.0
fiedler,add_to_x,grid2d_periodic,1024,0.2,5,0.9925873489746234,0.4291879786226903,1.0
fiedler,add_to_x,grid2d_periodic,2048,0.002,5,-0.010249135530267793,0.04038433724201012,0.3
fiedler,add_to_x,grid2d_periodic,2048,0.005,5,-0.020919315577787402,0.09716192429925295,0.3333333333333333
fiedler,add_to_x,grid2d_periodic,2048,0.01,5,-0.05108551527405294,0.21988615726005173,0.36666666666666664
fiedler,add_to_x,grid2d_periodic,2048,0.02,5,-0.021146368794449002,0.2752719711064837,0.5333333333333333
fiedler,add_to_x,grid2d_periodic,2048,0.035,5,0.07750263961105466,0.30542707640786243,0.7333333333333333
fiedler,add_to_x,grid2d_periodic,2048,0.05,5,0.1991418322851254,0.31937836794951613,0.8666666666666668
fiedler,add_to_x,grid2d_periodic,2048,0.07,5,0.25155878226210465,0.3372929647955582,0.9666666666666666
fiedler,add_to_x,grid2d_periodic,2048,0.1,5,0.27519102465625733,0.3576970139893188,1.0
fiedler,add_to_x,grid2d_periodic,2048,0.14,5,0.3009508263200876,0.3677452651812258,1.0
fiedler,add_to_x,grid2d_periodic,2048,0.2,5,0.33999411524129375,0.37354763670535374,1.0
fiedler,add_to_x,grid2d_periodic,4096,0.002,5,0.004988032128689037,0.02104225009370948,0.4666666666666667
fiedler,add_to_x,grid2d_periodic,4096,0.005,5,0.012392636068913944,0.05512938499839125,0.4666666666666667
fiedler,add_to_x,grid2d_periodic,4096,0.01,5,0.0169539514618552,0.08211380854542401,0.5666666666666667
fiedler,add_to_x,grid2d_periodic,4096,0.02,5,0.03430861543863043,0.12205180793152619,0.6333333333333333
fiedler,add_to_x,grid2d_periodic,4096,0.035,5,0.0750802354250874,0.15961483135726418,0.8
fiedler,add_to_x,grid2d_periodic,4096,0.05,5,0.1224915747162609,0.1885978095461891,0.9333333333333333
fiedler,add_to_x,grid2d_periodic,4096,0.07,5,0.17772759407964717,0.22503316930122078,0.9333333333333333
fiedler,add_to_x,grid2d_periodic,4096,0.1,5,0.24243236971144863,0.24096926649795053,1.0
fiedler,add_to_x,grid2d_periodic,4096,0.14,5,0.3107285784645107,0.24296067065609397,1.0
fiedler,add_to_x,grid2d_periodic,4096,0.2,5,0.39272686338028334,0.2489353619686118,1.0
fiedler,add_to_x,rr,1024,0.002,5,0.0008523863791998241,0.00016994586033648902,0.6933333333333332
fiedler,add_to_x,rr,1024,0.005,5,0.0022525201101765927,0.00040929779140815145,0.6533333333333333
fiedler,add_to_x,rr,1024,0.01,5,0.0047987083044128,0.0008103145723977665,0.58
fiedler,add_to_x,rr,1024,0.02,5,0.010433488711632606,0.001646576852737447,0.35333333333333333
fiedler,add_to_x,rr,1024,0.035,5,0.019643338210499867,0.0029689995379938846,0.13333333333333333
fiedler,add_to_x,rr,1024,0.05,5,0.029297283324156063,0.004390812098711415,0.02
fiedler,add_to_x,rr,1024,0.07,5,0.042860551668185934,0.008393000937319966,0.0
fiedler,add_to_x,rr,1024,0.1,5,0.0620741490916014,0.008932365164234565,0.0
